uuid,awareness,vote,effect,arguments_for,arguments_against
c745f0f0-da61-0133-33fa-0a81e8b09a82,I know something about it,I would vote for it,Work less,It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
56145000-da54-0133-3cc2-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
ff2f9e10-dbbd-0133-7610-0a81e8b09a82,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,None of the above
be8e0ce0-dbde-0133-96cc-0a81e8b09a82,I have heard just a little about it,I would vote against it,Gain additional skills,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
eebaab60-d939-0133-bbc9-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance
68081830-dea7-0133-4652-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance
1b3b1850-db1e-0133-53d7-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
24213e30-de69-0133-99f8-0a81e8b09a82,I understand it fully,I would vote for it,Do more volunteering work,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering",None of the above
bdaebce0-da67-0133-b1d9-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | It is impossible to finance
b8b0da60-d9a4-0133-1dc7-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It increases dependence on the state | It is impossible to finance | It might encourage people to stop working
d30d6800-d94c-0133-045c-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working
8d096130-db41-0133-66ec-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Look for a different job,"It increases solidarity, because it is funded by everyone",It is impossible to finance
f2237ee0-da57-0133-8e8b-0a81e8b09a82,I have never heard of it,I would vote for it,None of the above,None of the above,None of the above
ca9e3780-db0f-0133-eb0b-0a81e8b09a82,I know something about it,I would probably vote for it,Look for a different job,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working
bbb1ab00-d8e7-0133-bfd0-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working
66219690-dcac-0133-e9c0-0a81e8b09a82,I know something about it,I would probably vote for it,Work as a freelancer,It reduces anxiety about financing basic needs,It is impossible to finance
fcd8f6c0-dcc5-0133-c04a-0a81e8b09a82,I have heard just a little about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is impossible to finance
0a886d20-d983-0133-793a-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It might encourage people to stop working | It is impossible to finance
b3cb8be0-dcc1-0133-56e3-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
db14d570-d988-0133-9a78-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,None of the above,None of the above
d10a0f80-dccc-0133-f9e6-0a81e8b09a82,I understand it fully,I would probably vote against it,Stop working,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state
e4b1c3f0-dbaf-0133-b6d4-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,None of the above,"It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
580dff30-dcb8-0133-ee44-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",None of the above
a6f6a7d0-d95e-0133-77a5-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work less,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance
aa763560-da51-0133-f027-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
edf07900-db3f-0133-efb1-0a81e8b09a82,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
84050f60-da0f-0133-fdbc-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
4c5a3060-dcb4-0133-8074-0a81e8b09a82,I know something about it,I would probably vote against it,Work less,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
2dc3d0d0-dbd3-0133-975f-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
a748e6a0-dcca-0133-23b9-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
0bbcf460-d8d7-0133-1bb3-0a81e8b09a82,I have heard just a little about it,I would not vote,Spend more time with my family,It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state
26a156b0-da3d-0133-c553-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | It increases dependence on the state
ed694c60-d99e-0133-995e-0a81e8b09a82,I understand it fully,I would vote for it,Look for a different job,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
d10841a0-d985-0133-35f0-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
b55c04d0-dbee-0133-5131-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Do more volunteering work,It creates more equality of opportunity,Only the people who need it most should get something from the state
ddb70c70-da85-0133-e1ab-0a81e8b09a82,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state
89ef86c0-dabe-0133-c088-0a81e8b09a82,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It is impossible to finance | It increases dependence on the state | It might encourage people to stop working
d224bcf0-da83-0133-7060-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward
fd18b970-d943-0133-538a-0a81e8b09a82,I understand it fully,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward
b1783200-dbf4-0133-c9a2-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward
a37aec80-dbed-0133-4cfd-0a81e8b09a82,I understand it fully,I would vote for it,Work less,It reduces anxiety about financing basic needs,None of the above
a648f000-dd87-0133-bc8b-0a81e8b09a82,I have never heard of it,I would vote for it,Spend more time with my family,It creates more equality of opportunity,It might encourage people to stop working
70298a80-d9a0-0133-a0a9-0a81e8b09a82,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
1c8b25b0-db65-0133-36ae-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,"It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
e6d34640-d8df-0133-63a2-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | It increases dependence on the state | It might encourage people to stop working
63bdf260-dbb9-0133-56e2-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
8b1127b0-da43-0133-669a-0a81e8b09a82,I understand it fully,I would vote for it,Do more volunteering work,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
ae613370-de5c-0133-2770-0a81e8b09a82,I know something about it,I would not vote,None of the above,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
de08a070-deb8-0133-5d30-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working
cc2d51c0-dc3d-0133-6644-0a81e8b09a82,I know something about it,I would probably vote against it,None of the above,None of the above,Only the people who need it most should get something from the state
42ffa7d0-dbc2-0133-de15-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It encourages financial independence and self-responsibility,It increases dependence on the state
54387f20-da3d-0133-c659-0a81e8b09a82,I have never heard of it,I would vote against it,Work as a freelancer,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It increases dependence on the state
322bebd0-dcc1-0133-53f6-0a81e8b09a82,I understand it fully,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
36c7b3e0-dc58-0133-a285-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
6338dc50-dc91-0133-5595-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Work less,It encourages financial independence and self-responsibility,It might encourage people to stop working
83bb1310-db4f-0133-3f47-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity,Only the people who need it most should get something from the state
669cb890-de76-0133-e531-0a81e8b09a82,I understand it fully,I would probably vote for it,None of the above,It increases appreciation for household work and volunteering,It increases dependence on the state | It is impossible to finance
93a9a440-dbb2-0133-dc44-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state
ab7c7230-df4f-0133-4db4-0a81e8b09a82,I have heard just a little about it,I would vote against it,Gain additional skills,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
e04a2200-dbb7-0133-516a-0a81e8b09a82,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
198c36e0-da52-0133-f321-0a81e8b09a82,I understand it fully,I would vote for it,None of the above,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
c3656fd0-d9a0-0133-a245-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It encourages financial independence and self-responsibility,It might encourage people to stop working
2a4e3e70-d9aa-0133-8431-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
2013c600-dae2-0133-2f13-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
1dca4930-da59-0133-d0cd-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
a5d73a00-d968-0133-7629-0a81e8b09a82,I know something about it,I would probably vote for it,Work less,"It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is impossible to finance | It might encourage people to stop working
c27c36f0-db20-0133-0abf-0a81e8b09a82,I know something about it,I would vote for it,Stop working,It reduces anxiety about financing basic needs,It might encourage people to stop working
125bc960-dca1-0133-d20c-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
6266b3e0-dd5e-0133-dfe0-0a81e8b09a82,I know something about it,I would probably vote for it,Work less,It creates more equality of opportunity,It might encourage people to stop working
7529f280-de60-0133-fe2a-0a81e8b09a82,I know something about it,I would probably vote for it,None of the above,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward
4a217880-d9c6-0133-927d-0a81e8b09a82,I know something about it,I would not vote,Do more volunteering work,It increases appreciation for household work and volunteering,It might encourage people to stop working
4536c740-d99e-0133-966a-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Look for a different job,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
5ba6f8d0-dcd1-0133-987b-0a81e8b09a82,I have never heard of it,I would not vote,A basic income would not affect my work choices,None of the above,It might encourage people to stop working
6340eff0-d8f7-0133-b27e-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working | It increases dependence on the state
b075b1d0-dc34-0133-6efe-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work less,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
641d5930-da92-0133-d8e0-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
ac49e8e0-d8db-0133-9a20-0a81e8b09a82,I have never heard of it,I would probably vote for it,Gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
eef689a0-dcba-0133-12a1-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
af7f0ad0-db2d-0133-da7d-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
5d63a2a0-dca7-0133-bb37-0a81e8b09a82,I have never heard of it,I would not vote,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
a8fb4960-d99d-0133-93b4-0a81e8b09a82,I understand it fully,I would vote for it,None of the above,None of the above,Only the people who need it most should get something from the state
2ca1a290-dbeb-0133-3901-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working
89882060-dd39-0133-0ccb-0a81e8b09a82,I have never heard of it,I would not vote,Spend more time with my family,None of the above,None of the above
644e5fa0-d8e7-0133-bedb-0a81e8b09a82,I have never heard of it,I would not vote,Look for a different job,None of the above,None of the above
a4dc1600-da22-0133-ea48-0a81e8b09a82,I know something about it,I would probably vote against it,Spend more time with my family,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
66066720-df45-0133-c7d5-0a81e8b09a82,I know something about it,I would probably vote against it,None of the above,None of the above,It might encourage people to stop working
1f39c8f0-da58-0133-8fe6-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Look for a different job,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
e0463e30-dadd-0133-2092-0a81e8b09a82,I understand it fully,I would probably vote against it,Work less,It reduces anxiety about financing basic needs,It increases dependence on the state
6d6dd1c0-d907-0133-cfda-0a81e8b09a82,I have never heard of it,I would vote against it,Work less,None of the above,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
01e4f240-dc14-0133-2dda-0a81e8b09a82,I understand it fully,I would vote against it,Work less,None of the above,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
d57dbd40-db4a-0133-dc53-0a81e8b09a82,I know something about it,I would not vote,None of the above,None of the above,None of the above
b3c315a0-dd9b-0133-7d07-0a81e8b09a82,I understand it fully,I would probably vote against it,Look for a different job,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
95e96b20-dbd6-0133-952d-0a81e8b09a82,I understand it fully,I would vote for it,Stop working,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
63363670-dc65-0133-b8eb-0a81e8b09a82,I know something about it,I would vote for it,Work as a freelancer,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
4ddd1330-d8be-0133-0e2a-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
4de91d90-dae7-0133-4159-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
f7467fd0-d8b8-0133-04c5-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
1c0c20e0-d96c-0133-1ab4-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
13b14d50-dc80-0133-e372-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,None of the above
fa9b0d60-d98c-0133-f0be-0a81e8b09a82,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
ca37d8e0-dd5f-0133-dfd1-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
479bea70-dc12-0133-63e6-0a81e8b09a82,I know something about it,I would probably vote against it,Look for a different job,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
0246f870-db86-0133-b998-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
0e78a080-d990-0133-f88b-0a81e8b09a82,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
0d580240-d9bc-0133-b734-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
6ec6e120-db0a-0133-787c-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
7ee91130-da75-0133-30fa-0a81e8b09a82,I have never heard of it,I would not vote,Spend more time with my family,None of the above,None of the above
38184c70-d956-0133-8b5b-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
27762300-d9c2-0133-2caf-0a81e8b09a82,I know something about it,I would probably vote for it,Stop working,It reduces anxiety about financing basic needs,It might encourage people to stop working
453119b0-dec8-0133-2d58-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,None of the above,None of the above
1eb4d230-dc81-0133-e606-0a81e8b09a82,I know something about it,I would probably vote against it,Look for a different job,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
79f19bd0-da79-0133-84b8-0a81e8b09a82,I know something about it,I would not vote,Spend more time with my family,It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
ed3ef0c0-d9ad-0133-8c8c-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,It creates more equality of opportunity,None of the above
8a3f38d0-d8ed-0133-3b0c-0a81e8b09a82,I know something about it,I would vote against it,Stop working,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
3fc97b20-dda1-0133-a50c-0a81e8b09a82,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working
f0246ec0-d9d4-0133-d1df-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It encourages financial independence and self-responsibility",None of the above
ed9bb0b0-db9e-0133-9cf1-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state | Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
bd266ea0-db2c-0133-d69d-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
cd4536d0-de7e-0133-d67d-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering",It increases dependence on the state | Only the people who need it most should get something from the state
0c143da0-da2c-0133-4980-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
13812a10-dc03-0133-8343-0a81e8b09a82,I know something about it,I would vote for it,Work less,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
74c6e180-dbbe-0133-77ce-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
26194180-dc16-0133-7121-0a81e8b09a82,I understand it fully,I would probably vote against it,Look for a different job,It increases appreciation for household work and volunteering,It is impossible to finance
139f58b0-daf8-0133-f6ee-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
13939a50-ddbf-0133-92f0-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
6e884250-dc7b-0133-452f-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Look for a different job,It increases appreciation for household work and volunteering,It is impossible to finance
81ce27c0-dc06-0133-e38f-0a81e8b09a82,I know something about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
6ce9e380-dbfd-0133-27e9-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
6393a6e0-d9aa-0133-853a-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work as a freelancer,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | It is impossible to finance
7e9e7e90-dc6a-0133-7519-0a81e8b09a82,I understand it fully,I would vote for it,Look for a different job,It creates more equality of opportunity,It is impossible to finance
71736f00-dccd-0133-fdda-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,None of the above
88e75b60-da28-0133-7400-0a81e8b09a82,I understand it fully,I would vote against it,Spend more time with my family,It creates more equality of opportunity,Only the people who need it most should get something from the state
4be9c100-daed-0133-0a34-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working
12b04c20-d970-0133-90fe-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,None of the above
d4b4ed40-dad7-0133-12d3-0a81e8b09a82,I know something about it,I would probably vote for it,Look for a different job,It creates more equality of opportunity,It is impossible to finance
eb08e510-dc08-0133-82f5-0a81e8b09a82,I know something about it,I would vote for it,Spend more time with my family,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
a4fe9920-d8c4-0133-84f6-0a81e8b09a82,I know something about it,I would probably vote against it,Stop working,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
cb806e30-dd8d-0133-0525-0a81e8b09a82,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
